GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US370810126101,370810126101,"Block Group 1, Census Tract 126.10, Guilford County, North Carolina",1403,420,406,163,624,262,22,28,316,310,0,12,0,12,35,45,0,12,35,45
1500000US370810126102,370810126102,"Block Group 2, Census Tract 126.10, Guilford County, North Carolina",2075,557,316,138,835,337,71,90,726,423,0,12,73,91,54,43,0,12,54,43
1500000US370810126111,370810126111,"Block Group 1, Census Tract 126.11, Guilford County, North Carolina",2255,347,385,213,1656,340,52,53,134,117,0,12,0,12,28,45,0,12,28,45
1500000US370810126112,370810126112,"Block Group 2, Census Tract 126.11, Guilford County, North Carolina",1694,550,657,433,1002,341,0,12,0,12,0,12,14,24,21,35,21,35,0,12
1500000US370810126121,370810126121,"Block Group 1, Census Tract 126.12, Guilford County, North Carolina",2846,648,758,288,1904,584,0,12,163,185,0,12,0,12,21,34,0,12,21,34
1500000US370810126122,370810126122,"Block Group 2, Census Tract 126.12, Guilford County, North Carolina",1218,418,312,166,906,389,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370810126123,370810126123,"Block Group 3, Census Tract 126.12, Guilford County, North Carolina",2592,817,330,183,1657,596,0,12,15,24,0,12,287,374,303,284,0,12,303,284
1500000US370810126171,370810126171,"Block Group 1, Census Tract 126.17, Guilford County, North Carolina",2418,496,481,191,1387,489,31,37,147,179,0,12,289,220,83,68,32,50,51,46
1500000US370810126172,370810126172,"Block Group 2, Census Tract 126.17, Guilford County, North Carolina",1011,345,478,330,249,130,4,7,177,150,0,12,77,79,26,43,0,12,26,43
1500000US370810127031,370810127031,"Block Group 1, Census Tract 127.03, Guilford County, North Carolina",1722,375,1389,262,307,285,0,12,0,12,0,12,26,42,0,12,0,12,0,12
