GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US370810163051,370810163051,"Block Group 1, Census Tract 163.05, Guilford County, North Carolina",50.3,1.6,50.7,2.3,49.5,2.9
1500000US370810163052,370810163052,"Block Group 2, Census Tract 163.05, Guilford County, North Carolina",45.0,6.7,45.6,6.6,43.2,12.3
1500000US370810163061,370810163061,"Block Group 1, Census Tract 163.06, Guilford County, North Carolina",43.1,5.4,42.2,8.1,45.3,7.8
1500000US370810164051,370810164051,"Block Group 1, Census Tract 164.05, Guilford County, North Carolina",34.3,4.5,30.6,6.1,36.8,4.7
1500000US370810164061,370810164061,"Block Group 1, Census Tract 164.06, Guilford County, North Carolina",44.0,5.4,41.5,6.1,45.0,4.1
1500000US370810164071,370810164071,"Block Group 1, Census Tract 164.07, Guilford County, North Carolina",34.0,3.3,25.8,19.2,36.9,12.8
1500000US370810164072,370810164072,"Block Group 2, Census Tract 164.07, Guilford County, North Carolina",45.3,4.1,45.8,7.2,45.1,7.2
1500000US370810164081,370810164081,"Block Group 1, Census Tract 164.08, Guilford County, North Carolina",54.1,1.2,53.7,1.1,54.5,1.8
1500000US370810164091,370810164091,"Block Group 1, Census Tract 164.09, Guilford County, North Carolina",46.8,2.5,43.5,6.2,47.4,1.4
1500000US370810164101,370810164101,"Block Group 1, Census Tract 164.10, Guilford County, North Carolina",56.1,6.6,56.7,2.8,52.8,13.1
1500000US370810164102,370810164102,"Block Group 2, Census Tract 164.10, Guilford County, North Carolina",36.4,5.3,41.5,5.6,35.1,9.1
1500000US370810165021,370810165021,"Block Group 1, Census Tract 165.02, Guilford County, North Carolina",44.6,12.1,41.9,17.0,46.1,15.6
1500000US370810165022,370810165022,"Block Group 2, Census Tract 165.02, Guilford County, North Carolina",55.2,8.2,53.2,7.1,60.1,15.7
1500000US370810165023,370810165023,"Block Group 3, Census Tract 165.02, Guilford County, North Carolina",53.2,8.9,56.8,6.8,51.5,16.5
1500000US370810165024,370810165024,"Block Group 4, Census Tract 165.02, Guilford County, North Carolina",47.2,11.4,36.6,21.1,47.8,7.8
1500000US370810165031,370810165031,"Block Group 1, Census Tract 165.03, Guilford County, North Carolina",30.8,5.6,33.2,5.1,30.5,7.5
1500000US370810165032,370810165032,"Block Group 2, Census Tract 165.03, Guilford County, North Carolina",34.9,10.9,34.1,7.1,42.3,12.7
1500000US370810165051,370810165051,"Block Group 1, Census Tract 165.05, Guilford County, North Carolina",48.8,11.0,43.0,18.4,50.0,6.8
1500000US370810165052,370810165052,"Block Group 2, Census Tract 165.05, Guilford County, North Carolina",28.7,2.3,32.6,5.2,28.4,1.3
1500000US370810165061,370810165061,"Block Group 1, Census Tract 165.06, Guilford County, North Carolina",52.7,5.9,52.9,3.5,52.3,10.9
